,Unnamed: 0_level_0,PETRF463 - Cotação não ajustada,PETRF463 - Cotação não ajustada,PETRF463 - Cotação não ajustada,PETRF463 - Cotação não ajustada,PETRF463 - Cotação não ajustada,PETRF463 - Cotação não ajustada,PETRF463 - Cotação não ajustada,PETRF463 - Volatilidade implícita,PETRF463 - Volatilidade implícita,PETRF463 - Volatilidade implícita,PETRF463 - Volatilidade implícita,PETRF463 - Volatilidade implícita,PETR4 - Cotação não ajustada,PETR4 - Cotação não ajustada,PETR4 - Cotação não ajustada,PETR4 - Cotação não ajustada,PETR4 - Cotação não ajustada
,Unnamed: 0_level_1,Min,Pri,Med,Ult,Max,Negócios,Vol. Fin.,Min,Pri,Med,Ult,Max,Min,Abe,Med,Ult,Max
0,16/06/2023,406,406,441,442,459,52.0,"328.347,000",,,,,,2904,2923,2960,2964,2992
1,15/06/2023,398,511,481,420,560,2.172,"2.247.451,000",10550.0,14400.0,13380.0,14412.0,17750.0,2928,3020,3003,2939,3085
2,14/06/2023,346,387,457,484,487,728.0,"1.547.656,000",6900.0,9412.0,9023.0,10575.0,11150.0,2888,2894,2973,3010,3010
3,13/06/2023,324,385,361,378,403,476.0,"903.378,000",5500.0,6900.0,6918.0,7431.0,8300.0,2859,2924,2882,2886,2924
4,12/06/2023,295,323,363,385,404,209.0,"698.099,000",3400.0,3400.0,4618.0,5888.0,6406.0,3004,3022,3049,3081,3099
5,09/06/2023,219,225,281,330,346,275.0,"1.049.078,000",2687.0,3106.0,3600.0,4231.0,4859.0,2902,2910,2987,3028,3039
6,07/06/2023,160,160,198,200,221,3.531,"5.099.470,000",1900.0,3431.0,3368.0,2444.0,3931.0,2843,2865,2880,2887,2906
7,06/06/2023,74,86,115,135,152,5.493,"6.953.021,000",2786.0,3027.0,3133.0,3152.0,3522.0,2721,2745,2783,2805,2825
8,05/06/2023,76,92,85,88,95,4.297,"3.761.020,000",2647.0,2747.0,2788.0,2777.0,3002.0,2723,2754,2740,2747,2756
9,02/06/2023,71,81,88,77,108,2.642,"2.553.543,000",2603.0,2603.0,3019.0,2864.0,3327.0,2711,2743,2732,2718,2760
10,01/06/2023,38,43,55,70,72,3.345,"3.787.491,000",2712.0,2946.0,2923.0,2945.0,3099.0,2616,2630,2676,2696,2700
11,31/05/2023,30,39,37,37,43,1.662,"1.568.614,000",2779.0,2949.0,2897.0,2983.0,3305.0,2587,2627,2616,2612,2636
12,30/05/2023,42,66,49,44,66,2.119,"3.083.868,000",2684.0,2861.0,2823.0,2684.0,3005.0,2626,2672,2645,2639,2680
