TICKER,PETR4,PETR4,PETRF463,PETRF463,PETRF463,PETRF463,PETRF463,PETRF463,PETRF463,PETRF463,PETRF463,PETRF463
Metrics,Close,Volatility,BS_price,Close,Implied_volatility,Strike,Maturity,Delta,Gamma,Vega,Theta,Rho
Date,,,,,,,,,,,,
2023-06-16,29.64,0.4652,4.459999389648438,4.42,1.4412,25.18,2023-06-16,1.0,-0.0,0.0,,0.0
2023-06-15,29.39,0.4695,4.22326122823414,4.2,1.4412,25.18,2023-06-16,1.0,0.0,0.0,-0.01,0.1
2023-06-14,30.1,0.4692,4.946518523598197,4.84,1.0575,25.18,2023-06-16,1.0,0.0,0.0001,-0.01,0.19
2023-06-13,28.86,0.4674,3.7209641409451066,3.7800000000000002,0.7431,25.18,2023-06-16,1.0,0.01,0.026,-0.01,0.29
2023-06-12,30.81,0.4637,5.683080661644549,3.85,0.5888,25.18,2023-06-16,1.0,0.0,0.0025,-0.01,0.39
2023-06-09,30.28,0.4628,5.167131364842643,3.3000000000000003,0.42310000000000003,25.18,2023-06-16,1.0,0.0,0.0214,-0.01,0.48
2023-06-07,28.87,0.4596,3.807136035596706,2.0,0.2444,25.18,2023-06-16,0.97,0.03,0.3083,-0.02,0.65
2023-06-06,28.05,0.4589,3.0546477153592413,1.35,0.31520000000000004,25.18,2023-06-16,0.92,0.06,0.6987,-0.03,0.7
2023-06-05,27.47,0.4593,2.569917224797127,0.88,0.2777,25.18,2023-06-16,0.87,0.09,1.0885,-0.04,0.73
2023-06-02,27.18,0.4586,2.363007120114645,0.77,0.2864,25.18,2023-06-16,0.83,0.1,1.3453,-0.04,0.77
2023-06-01,26.96,0.4586,2.226024738924874,0.7000000000000001,0.29450000000000004,25.18,2023-06-16,0.8,0.11,1.5594,-0.04,0.81
2023-05-31,26.12,0.4574,1.643884806147934,0.37,0.2983,25.18,2023-06-16,0.69,0.14,1.9844,-0.05,0.75
2023-05-30,26.39,0.4573,1.8786770850795698,0.44,0.2684,25.18,2023-06-16,0.72,0.13,1.9882,-0.04,0.85
2023-05-29,26.69,0.4581,2.1432397706370523,0.68,0.2988,25.18,2023-06-16,0.75,0.11,1.9684,-0.04,0.96
2023-05-26,26.8,0.4602,2.271078383384612,0.73,0.28290000000000004,25.18,2023-06-16,0.76,0.11,2.0175,-0.04,1.03
